id	legalName	ateco	region	description
240	D.I.P. DIFFUSIONE ITALIANA PREZIOSI S.P.A.	47	Veneto	L'azienda opera nel commercio al dettaglio elettronico di articoli preziosi, concentrando l'attività sulla vendita di orologi, gioielli e articoli in argenteria. Il catalogo comprende gioielli realizzati in oro, argento e acciaio, includendo prodotti quali anelli, bracciali, collane, orecchini e fedi nuziali, con possibilità di personalizzazione mediante incisioni. L'offerta commerciale si basa sulla gestione di un canale di vendita online, integrato da opzioni di ritiro in negozio, e sulla partecipazione a procedure di appalto per l'acquisizione di articoli destinati alla rappresentanza e alle forniture per dipendenti. Sono inoltre erogati servizi di personalizzazione, riparazione e messa a misura degli articoli preziosi.
241	DIREZIONE LAVORO GROUP S.P.A.	78	Lazio	L'azienda opera come agenzia per la fornitura di lavoro temporaneo mediante la somministrazione di manodopera con contratti a tempo determinato e a tempo indeterminato. L'attività si concretizza attraverso la gestione amministrativa e contrattuale delle risorse umane, integrando processi di ricerca e selezione del personale per la presentazione di profili operativi e tecnici in risposta a specifici fabbisogni. Le operazioni comprendono la fornitura di personale in differenti categorie professionali e livelli di qualificazione, evidenziata in procedure di somministrazione riportate in bandi pubblici.
242	SIEMENS HEALTHCARE S.R.L.	46	Lombardia	L'azienda opera nella fornitura, nel commercio all'ingrosso e nella manutenzione di impianti, sistemi e apparecchiature medicali ad alta complessità tecnologica, includendo dispositivi per l'imaging diagnostico quali tomografi computerizzati, risonanza magnetica, tomografi pet/ct e sistemi combinati per gamma camera, unitamente ad apparecchi elettromedicali e strumenti per la diagnostica in vitro. L'offerta comprende inoltre soluzioni per la diagnostica di laboratorio, tecnologie IT per la gestione e la digitalizzazione dei dati clinici, nonché pezzi di ricambio e accessori specifici, supportando attività di assistenza tecnica e formazione operativa.
243	PEDEVILLA S.P.A. - SOCIETA' BENEFIT	56	Lazio	L'azienda opera nella gestione operativa di strutture per la ristorazione collettiva, con attività specifiche nella conduzione di mense aziendali e scolastiche. L'organizzazione si occupa della progettazione e gestione in conto proprio delle operazioni di somministrazione pasti, includendo l'esecuzione di gare per l'affidamento dei servizi di ristorazione. Le attività comprendono la gestione di operazioni di catering e banqueting per eventi istituzionali e attività correlate alla produzione alimentare in ambienti dedicati.
244	SOLETO S.P.A.	43	Lombardia	La società opera nella progettazione, installazione, ampliamento, trasformazione e manutenzione di impianti elettrici civili e industriali, impianti telefonici, telegrafici, radiofonici, televisivi e di trasmissione radiotelevisiva, comprensivi di installazione di antenne e sistemi di protezione contro scariche atmosferiche. Le attività comprendono l'installazione e il mantenimento di impianti di riscaldamento, climatizzazione, idrosanitari per il trasporto, trattamento, accumulo e consumo dell'acqua, nonché la realizzazione di sistemi di sollevamento mediante ascensori, montacarichi e scale mobili. Sono realizzate anche installazioni di impianti elettronici di protezione antincendio e sistemi per la distribuzione, evacuazione e ventilazione di gas, integrati con infrastrutture ICT. Vengono implementati cablaggi strutturati, reti in fibra ottica e sistemi di comunicazione fissa e mobile, inclusa l'installazione di ponti radio e la configurazione di apparati di rete. La società eroga assistenza tecnica tramite call center, help desk e servizi di supporto per la gestione e la manutenzione hardware e sistemistica. Le operazioni comprendono inoltre la progettazione e l'installazione di impianti per l'energia rinnovabile e sistemi di condizionamento, afferenti al settore delle infrastrutture tecnologiche e degli impianti integrati. La partecipazione a gare pubbliche per la realizzazione di infrastrutture in fibra ottica evidenzia la capacità operativa in progetti su larga scala.
245	GIFRAB ITALIA S.P.A.	47	Lombardia	L'azienda opera nel settore del commercio al dettaglio specializzato nella distribuzione di abbigliamento, calzature e articoli di pelletteria, attraverso la gestione di esercizi specializzati, department store, punti vendita multibrand e franchising. L'assortimento comprende collezioni per uomo, donna e bambino, integrando linee di prodotti per usi civili e divise operative. L'attività include la partecipazione a procedure d'appalto per la fornitura di abbigliamento istituzionale e divise per personale di portineria, anticamera, sicurezza e altre funzioni operative.
246	"CASA DI CURA HABILITA S.P.A. ED IN FORMA ABBREVIATA ""HABILITA S.P.A."""	86	Lombardia	L'azienda opera nel settore sanitario mediante la gestione di strutture ospedaliere e case di cura specialistiche. Le attività principali comprendono l'erogazione di prestazioni in regime di degenza, day hospital e ambulatoriali nelle aree di medicina iperbarica e riabilitazione, con particolare applicazione in neuro riabilitazione e chirurgia protesica in ambito ortopedico. Le strutture includono reparti dedicati alla diagnostica per immagini, al laboratorio clinico e alla fisioterapia, nonché unità operative per l'ossigenoterapia iperbarica mediante camere iperbariche. L'organizzazione si occupa della gestione integrata delle attività cliniche e riabilitative, con delineate competenze nei settori di medicina fisica e riabilitativa e in discipline complementari quali l'odontostomatologia e l'oculistica.
247	LAZIOCREA S.P.A.	62	Lazio	L'azienda opera nell'ambito della gestione tecnica e amministrativa per enti pubblici attraverso l'organizzazione, la progettazione, la realizzazione e la gestione di sistemi informativi regionali. Vengono implementati e mantenuti data center, infrastrutture di rete a banda larga e ultra larga e piattaforme digitali per l'elaborazione, l'archiviazione e il monitoraggio di database e sistemi applicativi. Vengono altresì realizzate soluzioni per la gestione documentale, la rendicontazione dei flussi informativi e l'erogazione di servizi ICT, compresi moduli per il supporto tecnico-amministrativo e la gestione integrata di interventi cofinanziati da enti pubblici.
248	NUOVO PIGNONE S.R.L.	28	Toscana	Opera nella progettazione e realizzazione di turbomacchine, focalizzandosi sulla fabbricazione di turbine e turboalternatori e dei relativi componenti e accessori. L'attività comprende lo sviluppo, la produzione, l'assemblaggio e l'installazione di apparecchiature per il controllo, l'automazione e la diagnostica, oltre alla costruzione di impianti per la generazione di energia elettrica, includendo centrali a ciclo combinato e impianti di cogenerazione. Svolge interventi di montaggio e manutenzione su turbomacchine e compressori, come evidenziato dalle operazioni di assistenza tecnica e lavori elettromeccanici finalizzati al mantenimento e al miglioramento delle unità di compressione e delle centrali di stoccaggio.
249	MARAZZI GROUP S.R.L.	23	Emilia-Romagna	L'azienda opera nella fabbricazione di piastrelle in ceramica per pavimenti e rivestimenti, integrando unità operative per l'estrazione dell'argilla separate dalla sede principale. Le attività produttive comprendono le fasi di miscelazione, macinazione, atomizzazione, pressatura, essiccazione, smaltatura, cottura, taglio, rettifica, lappatura, scelta, imballaggio e stoccaggio, applicate alla produzione di lastre in gres porcellanato e ceramica. L'offerta tecnica si articola nella produzione di superfici ceramiche per applicazioni orizzontali e verticali, con specifiche tecniche definite dai processi industriali adottati durante la lavorazione delle materie prime.
250	AGENZIAPIU' S.P.A.	78	Marche	Azienda operante nel settore dell'interinale, con attività mirate alla somministrazione di personale a tempo determinato, alla ricerca e selezione del personale, alla formazione professionale e alla consulenza organizzativa. L'operatività tecnica risulta dall'esecuzione di affidamenti tramite gare d'appalto per la fornitura di personale in ambiti specifici, con attenzione alla gestione di contrattualizzazioni in modalità di lavoro temporaneo.
251	E.P.M. S.R.L.	81	Emilia-Romagna	L'azienda esegue interventi tecnici di pulizia ambientale per enti pubblici e privati, comprendenti attività di pulizia, sanificazione, disinfezione, disinfestazione e deratizzazione, conformi a disposizioni normative specifiche. Le operazioni comprendono la raccolta e il trasporto di rifiuti solidi urbani differenziati, il lavaggio di cassonetti e contenitori, lo spazzamento di vie pubbliche e lo smaltimento di rifiuti pericolosi, oltre all'esecuzione di attività di portierato e gestione guardaroba. In ambito facility management vengono svolti interventi di manutenzione impiantistica, elettrica, idrica e di servizi di giardinaggio, unitamente all'installazione e gestione di impianti per la produzione di energia da fonti rinnovabili e all'esecuzione di audit energetici e riqualificazioni strutturali. L'azienda assume contratti di appalto per la fornitura complessiva di tali prestazioni in contesti sanitari, ospedalieri e civili.
252	BAYER S.P.A.	46	Lombardia	L'azienda opera nel settore del commercio all'ingrosso di prodotti chimico-farmaceutici attraverso la distribuzione di medicinali e farmaci in diverse formulazioni, comprendenti compresse, granulati, bustine e altri formati dosati. L'attività si caratterizza per l'approvvigionamento di emoderivati, radiofarmaci e specialità farmacologiche, rilevata dalla partecipazione a gare pubbliche per la fornitura sistematica di prodotti destinati a enti sanitari e strutture pubbliche.
253	ADRILOG SOCIETA' COOPERATIVA BENEFIT	52	Abruzzo	L'organizzazione opera nella movimentazione merci mediante la pianificazione e il coordinamento di operazioni di trasporto su scala nazionale e internazionale, includendo trasporti intermodali, gestione dei flussi di magazzinaggio e distribuzione. Le attività tecniche comprendono l'organizzazione operativa di hub logistici e il coordinamento delle operazioni relative alla movimentazione fisica delle merci, nonché interventi tecnici per il controllo e la manutenzione degli impianti antincendio e dei relativi dispositivi elettromeccanici.
254	CITTADINI DELL'ORDINE S.P.A.	80	Trentino-Alto Adige/Südtirol	L'azienda opera nel settore della vigilanza privata erogando soluzioni di vigilanza fissa ed ispettiva, vigilanza antirapina e antitaccheggio, portierato e sicurezza sussidiaria. L'offerta comprende interventi su allarme, scorta e trasporto valori, unitamente alla progettazione, installazione e manutenzione di impianti elettronici, radiotelevisivi e sistemi di rilevazione antincendio. Vengono impiegate tecnologie di telesorveglianza, televigilanza e monitoraggio satellitare per il controllo di impianti e flotte, integrabili con sistemi di videosorveglianza e controllo accessi.
255	VALEO - S.P.A.	29	Piemonte	L'azienda opera nello studio, progettazione, produzione e commercio di dispositivi e apparecchi in grado di convertire, trasmettere e assorbire diverse forme di energia. Le linee produttive comprendono dispositivi meccanici, idraulici, pneumatici, elettrici, elettromagnetici ed elettronici destinati ad applicazioni nel settore della componentistica e degli accessori per autoveicoli. L'attività produttiva prevede l'assemblaggio di sistemi di illuminazione per veicoli, pannelli di controllo e interruttori, nonché la fabbricazione di innesti a frizione e doppi volani ammortizzati. Ulteriori segmenti produttivi includono dispositivi per la gestione termica, sistemi propulsivi per veicoli elettrificati e soluzioni per il mantenimento e la pulizia di sensori e componenti correlati. L'azienda integra inoltre attività di ricambi e assistenza tecnica nell'ambito della componentistica elettromeccanica applicata ad autoveicoli e altri mezzi di trasporto.
256	DOUGLAS ITALIA S.P.A.	47	Lombardia	Azienda attiva nel commercio al dettaglio specializzato nella distribuzione di articoli di profumeria, cosmetici, prodotti per toletta e per l'igiene personale attraverso reti retail. L'attività commerciale comprende anche operazioni di fornitura documentate mediante gare per la fornitura di articoli destinati a strutture assistenziali.
257	PRENATAL S.P.A.	47	Lombardia	L'azienda opera nel commercio al dettaglio di articoli specializzati per l'infanzia con una gamma di prodotti che comprende abbigliamento per bambini e neonati, accessori specifici, articoli per puericultura e prodotti per la cura del bambino. L'offerta prevede forniture di materiali per confezioni dedicate all'infanzia, inclusi lettini, seggioloni, passeggini, culle e kit integrati per strutture educative, evidenziata dalla partecipazione a procedure di acquisto pubblico. Le attività si concentrano sulla distribuzione di confezioni per l'infanzia in mercati settorializzati, inclusi segmenti specializzati nell'abbigliamento e negli accessori per neonati.
258	ETNAFOOD S.R.L.	56	Sicilia	L'azienda opera nel settore della ristorazione veloce mediante l'apertura, la gestione e la conduzione di punti vendita per la somministrazione al pubblico di alimenti e bevande in Sicilia e Calabria. Le attività comprendono l'organizzazione e il coordinamento operativo di ristoranti e caffetterie e l'erogazione di servizi rivolti sia a clienti finali sia a operatori commerciali. L'attività è strutturata attorno alla gestione operativa di reti di punti vendita nel segmento della ristorazione.
259	AMAT PALERMO S.P.A.	49	Sicilia	L'azienda opera nel trasporto pubblico locale, effettuando il trasporto terrestre di passeggeri in aree urbane e suburbane tramite sistemi su gomma e su rotaia. L'attività comprende la gestione di itinerari con autobus e tram, il coordinamento delle operazioni di trasporto scolastico riservato e di noleggio autobus con conducente, la manutenzione e l'installazione di impianti di segnaletica stradale orizzontale e verticale, l'erogazione di servizi di car sharing e bike sharing, la gestione di parcheggi a sosta tariffata e l'esecuzione di interventi di rimozione forzata di veicoli in sosta vietata. Sono presenti inoltre operazioni relative all'affidamento di servizi tecnologici e amministrativi per la gestione delle soluzioni di mobilità e infrastrutturali, documentate attraverso procedure negoziate e convenzioni per il prolungamento o l'implementazione di linee urbane.
260	RGI SPA	62	Lombardia	L'azienda esercita attività nell'ambito della produzione e personalizzazione di software destinati al settore assicurativo e nella commercializzazione all'ingrosso di hardware, software, sistemi elettronici e computer. L'offerta comprende prodotti e soluzioni per l'amministrazione delle polizze, configurabili in moduli per la gestione integrata di anagrafiche, contabilità, reportistica tramite strumenti di Business Intelligence e interfacce utente personalizzabili, supportate da infrastrutture cloud e on-premise. L'attività include inoltre la realizzazione, progettazione, formazione e manutenzione di sistemi informatici, nonché il noleggio e la locazione degli stessi. La documentazione tecnica riscontra la presenza di sistemi omnichannel e omnidevice per la gestione dei processi assicurativi e la partecipazione ad operazioni di gara nel servizio di web hosting.
261	COOPERATIVA CERAMICA D'IMOLA SOCIETA' COOPERATIVA IN BREVE COOPERATIVA CERAMICA D'IMOLA S.C.	23	Emilia-Romagna	L'azienda opera nella produzione integrata di piastrelle in ceramica e gres porcellanato per pavimenti e rivestimenti. Il processo produttivo prevede operazioni tecniche di macinazione, atomizzazione, pressatura, essiccamento, smaltatura e cottura, realizzate mediante impianti automatizzati e linee di produzione continua, finali alla realizzazione di prodotti con finiture variabili quali natura, levigata e strutturata, e lastre di grande formato con spessori ridotti. Gli stabilimenti gestiscono in maniera autonoma tutte le fasi, dalla lavorazione della materia prima alla produzione dei prodotti finiti, per applicazioni in ambito residenziale e pubblico.
262	GENERAL S.R.L.	47	Toscana	L'azienda esercita attività di commercio al dettaglio itinerante su aree pubbliche, operando nella distribuzione di prodotti per la pulizia di ambienti, per l'igiene personale e per la lucidatura. L'attività comprende l'offerta di saponi, detersivi, detergenti, gel igienizzanti, disinfettanti, prodotti per la pulizia tessile e materiali per la sanificazione, nonché la fornitura di dispositivi di protezione individuale, come evidenziato dalla partecipazione a procedure di gara per l'acquisto di materiali igienico-sanitari.
263	YVES SAINT LAURENT MANIFATTURE S.R.L.	15	Toscana	L'azienda opera nella produzione manifatturiera di articoli da viaggio, borse, componenti in pelletteria e selleria e nello sviluppo di design di moda e disegno industriale. Le linee produttive comprendono la realizzazione di collezioni di abbigliamento prêt‐à‐porter, calzature e accessori coordinati, mediante processi tecnologici di taglio, cucitura e assemblaggio di materiali tessili e in pelle. L'attività si configura nella fabbricazione di componenti specifici per il settore moda, integrando operazioni di progettazione industriale con tecniche produttive manifatturiere.
264	CDSHOTELS S.P.A.	55	Puglia	L'azienda opera nel settore dei villaggi turistici mediante la gestione di strutture ricettive extra-alberghiere e impianti per eventi, implementando unità abitative dotate di sistemi di climatizzazione, connessione wireless e attrezzature elettroniche, e spazi multifunzionali configurabili per congressi, meeting e workshop. Le strutture presentano aree ristorative con menu basati su prodotti locali e impianti tecnici integrati per il servizio food & beverage, oltre a centri dedicati al benessere quali impianti spa e aree per attività fisica. L'organizzazione degli spazi include soluzioni per l'accoglienza turistica che consentono la fornitura di servizi integrati, come coffee break, welcome lunch e allestimenti per manifestazioni, nonché il supporto logistico e operativo per eventi di diversa natura.
265	"AZIENDA MUNICIPALE AMBIENTE S.P.A. ROMA IN FORMA ABBREVIATA ""AMA S.P.A"""	38	Lazio	L'azienda opera nella raccolta, trasporto, trattamento, riciclaggio e smaltimento dei rifiuti solidi urbani non pericolosi, estendendo l'attività anche al trasporto conto terzi grazie al possesso di numerose licenze per il trasporto merci. Le operazioni comprendono il recupero di frazioni organiche e il trattamento di rifiuti biodegradabili e indifferenziati, l'autotrasporto per il trasferimento di rifiuti speciali e urbani pericolosi nonché la sanificazione di contenitori utilizzati per la raccolta. L'attività si articola inoltre nella gestione tecnica dei servizi cimiteriali e nell'erogazione di servizi funebri, integrati da interventi sistematici di manutenzione degli spazi verdi, inclusa la sistemazione di parchi, giardini e aiuole.
266	"""AON S.P.A. INSURANCE & REINSURANCE BROKERS "" "". LA SOCIETA' POTR A' AGGIUNGERE ALLA DENOMINAZIONE SOCIALE LA DICITURA ""SOCIETA' BENEFIT"" O, IN FO RMA ABBREVIATA, ""SB""."	66	Lombardia	L'organizzazione opera nell'ambito dell'intermediazione assicurativa e riassicurativa. Le attività comprendono la mediazione e la consulenza tecnica per il brokeraggio assicurativo, l'elaborazione e il rinnovo di contratti assicurativi, la definizione di coperture polizze e la gestione dei sinistri. Vengono erogati servizi di risk management e aggiornamento dei dati assicurativi in conformità con le specifiche tecniche del settore.
267	NESTLE' ITALIANA S.P.A. IN FORMA ABBREVIATA NE.IT. S.P.A.	10	Lombardia	L'azienda opera nella produzione e distribuzione di prodotti alimentari destinati al consumo umano e animale. L'attività principale comprende la trasformazione di materie prime in alimenti mediante processi di lavorazione che interessano linee di produzione di cereali e preparati per la colazione, prodotti dolciari, formulazioni per nutrizione enterale e alimenti dietetici, nonché la produzione e l'imbottigliamento di bevande analcoliche e acque minerali. Vengono inoltre realizzati accessori per la distribuzione e il consumo di bevande, inclusi capsule per caffè e articoli di caffetteria, e gestite attività di commercio elettronico per la vendita di tali articoli. L'azienda si occupa altresì della produzione di semilavorati e ingredienti per cibi pronti e snack, nonché del confezionamento di preform in materiali plastici per il settore alimentare.
268	MAPEI S.P.A.	20	Lombardia	L'azienda produce e commercializza materiali chimici per l'edilizia mediante processi di miscelazione e sintesi che comprendono adesivi, sigillanti, malte e resine. La produzione prevede la trasformazione di materie plastiche per la realizzazione di fibre, monofili e articoli plastici, nonché la formulazione di vernici, smalti, conglomerati bituminosi e tessuti in fibra di carbonio. L'attività copre la fornitura di soluzioni per la posa e la manutenzione di pavimenti, rivestimenti e strutture murarie e per interventi su infrastrutture edili.
269	UNIGRA' S.P.A.	10	Emilia-Romagna	L'azienda opera nella produzione, lavorazione, confezionamento, deposito e vendita all'ingrosso di ingredienti alimentari. L'attività prevede la trasformazione industriale di oli e grassi di origine vegetale, animale e mista mediante processi di raffinazione, trattamenti termici e raffreddamento controllato. Vengono realizzate formulazioni di margarina, preparazioni di cioccolato, surrogati e derivati dolciari, nonché semilavorati in polvere destinati alla panificazione e pasticceria. L'azienda produce inoltre preparati UHT a base di grassi vegetali e prodotti lattiero-caseari e commercializza oli e grassi per uso zootecnico e applicazioni industriali.
270	FRUTTAGEL SOCIETA' COOPERATIVA AGRICOLA PER AZIONI IN SIGLA FRUTT AGEL S.C.P.A.	10	Emilia-Romagna	L'azienda opera nella trasformazione industriale di materie prime agricole, eseguendo lavorazioni meccanizzate mediante macchinari agricoli su materie prime raccolte, sottoposte a cernita, lavaggio, taglio, trattamento termico, surgelazione, sterilizzazione commerciale, confezionamento e stoccaggio. L'attività comprende la produzione di succhi di frutta e ortaggi, passate, polpa e nettari, oltre alla surgelazione di verdure e alla commercializzazione al dettaglio di prodotti alimentari quali pasta, dolciumi, prodotti da forno, caffè torrefatto e prodotti dietetici. Le operazioni produttive integrano fasi di trasformazione di ortofrutta, cereali e legumi, seguendo un iter tecnico che va dalla lavorazione primaria all'imballaggio per la distribuzione a canali consumer e per la ristorazione.
271	D.M.O. - DETTAGLIO MODERNO ORGANIZZATO S.P.A.	47	Veneto	L'azienda opera nel settore del commercio al dettaglio attraverso reti di punti vendita fisici e piattaforme di commercio elettronico. La sua attività include la vendita di saponi, detersivi, prodotti per la lucidatura e articoli correlati, nonché un assortimento di prodotti per l'igiene della casa e della persona che comprende profumeria, bigiotteria, cartoleria, articoli casalinghi, biancheria intima, vestiario, accessori, prodotti alimentari, integratori alimentari e articoli per l'alimentazione e la cura di animali domestici. L'azienda ha inoltre partecipato a procedure di gara per la fornitura di alimenti dietetici, per la gestione di problematiche connesse al randagismo animale e per l'acquisto di materiali sanitari e prodotti accessori per ambienti protetti.
272	MEDTRONIC ITALIA S.P.A.	46	Lombardia	L'azienda opera nel settore del commercio all'ingrosso di dispositivi medicali e dotazioni ortopediche, con un focus sulle tecnologie biomedicali. L'attività si concentra sulla distribuzione di apparecchi e dispositivi elettromedicali, sistemi di infusione cottocutanea per l'erogazione di insulina e monitoraggio continuo della glicemia, dispositivi e filtri per trattamenti di dialisi extracorporea e peritoneale, nonché su strumentazioni per trattamenti di cardiologia, neurologia e chirurgia. L'offerta comprende soluzioni impiantabili quali pompe impiantabili, microinfusori integrati con algoritmi per la gestione della somministrazione dell'insulina, valvole aortiche impiantabili per procedure transcatetere, dispositivi per stimolazione neurologica e sistemi chirurgici robotici, nonché componenti per filtri e stent coronarici, e defibrillatori impiantabili.
273	LIMACORPORATE S.P.A.	32	Friuli-Venezia Giulia	L'azienda opera nella progettazione e produzione di dispositivi ortopedici e protesi ortopediche. L'attività si concentra sulla realizzazione di impianti protesici per articolazioni quali anca, ginocchio, spalla e gomito. I processi produttivi includono lavorazioni meccaniche di precisione, manifattura additiva, saldatura, finiture e rivestimenti superficiali, marcatura, passivazione, assemblaggio e riparazione. L'ambito operativo comprende la fabbricazione di impianti per la traumatologia e sistemi di osteosintesi mediante tecnologie specifiche.
274	GEMMO S.P.A. (SOCIETA' CON UNICO SOCIO)	43	Veneto	L'azienda opera nella progettazione, realizzazione, installazione e conduzione di impianti tecnologici complessi. Le attività comprendono l'ideazione e l'implementazione di impianti elettrici, meccanici, di illuminazione, di termo-condizionamento, nonché di impianti idrico-sanitari e speciali destinati a infrastrutture stradali, aeroportuali, sanitarie e a grandi complessi terziari. La progettazione include quadri elettrici di media tensione, quadri di distribuzione in bassa tensione e quadri speciali, sistemi di distribuzione dell'energia, sottostazioni e linee di contatto per impianti ferroviari e trasporti di massa. Sono sviluppati sistemi di segnalamento, trazione elettrica, controllo, telecomunicazione e sicurezza per reti ferroviarie e metropolitane, unitamente a soluzioni integrate per automazione, telecontrollo e controllo di processo. L'attività progettuale si estende alla realizzazione di impianti di sollevamento e sistemi di protezione antincendio, nonché alla conduzione di servizi integrati di gestione, manutenzione e conduzione di impianti tecnologici e infrastrutturali, compresi quelli per la pubblica illuminazione. Vengono altresì realizzate soluzioni per il facility management e la manutenzione ordinaria e straordinaria di impianti in contesti residenziali, infrastrutturali e nel settore ferroviario, con l'installazione e l'assistenza hardware e software finalizzate al controllo centralizzato dell'assetto tecnologico. L'azienda opera inoltre in appalti pubblici relativi a interventi di riqualificazione, adeguamento e messa a norma degli impianti tecnologici.
275	MUNICIPIA S.P.A.	82	Trentino-Alto Adige/Südtirol	L'azienda opera nella gestione tecnica delle attività relative alla liquidazione, all'accertamento e alla riscossione dei tributi degli enti locali mediante l'implementazione e la manutenzione di applicazioni software specifiche. L'attività principale prevede lo sviluppo e l'integrazione di sistemi informatici per la gestione amministrativa, contabile e operativa, includendo funzionalità per il data entry, la stampa, la postalizzazione, l'archiviazione ottica e la rendicontazione. Vengono erogati servizi applicativi per la gestione integrata delle procedure sanzionatorie amministrative e per l'incasso di entrate tributarie ed extratributarie su piattaforme cloud, supportati da infrastrutture ICT e sistemi di data management. L'azienda adotta soluzioni di system integration e full outsourcing per l'installazione, l'avviamento e la manutenzione di sistemi gestionali integrati per gli enti pubblici, come evidenziato dalla partecipazione a bandi per l'affidamento di servizi applicativi e gestione operativa.
276	GOTTARDO S.P.A.	47	Veneto	L'azienda opera nel commercio al dettaglio di articoli di profumeria, prodotti per toletta, igiene personale e detergenti per la pulizia domestica. L'attività comprende la gestione di una rete distribuita di punti vendita e una piattaforma di e-commerce dedicata alla commercializzazione di formulazioni cosmetiche e soluzioni per la cura personale, senza escludere procedure operative inerenti approvvigionamenti effettuati tramite bandi pubblici per materiale di pulizia, dispositivi di rilevazione presenze, sistemi gestionali in ambiente cloud e arredo urbano.
277	BSP PHARMACEUTICALS S.P.A.	21	Lazio	L'azienda opera nella produzione a contratto di preparati farmaceutici, con particolare attenzione alla fabbricazione di medicinali antineoplastici e immunoterapeutici. La produzione comprende farmaci citotossici, anticorpi coniugati e preparati farmacologici non citotossici. Le fasi produttive includono processi di dissoluzione, filtrazione, pesatura, miscelazione, granulazione, essiccamento, riempimento, liofilizzazione, ispezione e confezionamento, applicati a formulazioni liquide e in polvere. L'attività si estende anche allo sviluppo e alla produzione di semilavorati di origine biotecnologica e di intermedi di produzione per il settore farmaceutico.
278	FORMULA AMBIENTE S.P.A.	38	Emilia-Romagna	L'azienda opera nella raccolta, trasporto e smaltimento di rifiuti solidi urbani e di rifiuti speciali, includendo categorie pericolose e non pericolose. Le attività operative comprendono raccolta differenziata, preselezione, cernita, trasferimento, trattamento, riutilizzo, rigenerazione, recupero, riciclo, innocuizzazione, inertizzazione, ammasso, deposito, stoccaggio e produzione di compost. Viene gestito un centro di raccolta mediante impianti e attrezzature specifiche e parallelamente eseguiti interventi di lavaggio e sanificazione di cassonetti, nonché operazioni di spazzamento stradale manuale e meccanizzato e manutenzione di aree verdi in ambienti pubblici e privati. L'attività principale si concentra sul settore della gestione dei rifiuti solidi non pericolosi.
279	ELPE GLOBAL LOGISTIC SERVICES S.P.A.	52	Piemonte	L'azienda svolge attività operative di logistica integrata a livello nazionale, comprendenti la progettazione e l'esecuzione di processi logistici. Le operazioni includono la gestione di magazzini, attività di picking e confezionamento, movimentazione merci e trasporto su strada, con particolare applicazione a manovalanza modulare per operazioni di carico e scarico. L'attività si estende alla logistica outbound e inbound, con implementazione di sistemi informativi per il monitoraggio delle scorte e il controllo delle operazioni di magazzino. Sono presenti processi di facility management che comprendono pulizie civili e industriali, cernita rifiuti, gestione di aree verdi e guardiania non armata. L'azienda opera nei segmenti B2B e B2C e si avvale dell'ingegneria logistica per l'ottimizzazione dei flussi operativi e la progettazione di nuove soluzioni infrastrutturali, integrando la distribuzione merci e i servizi di trasporto espresso.
280	TEORESI S.P.A.	62	Piemonte	L'azienda opera nel settore informatico dedicandosi alla ricerca, progettazione, sviluppo, testing, validazione, delivery e manutenzione di applicazioni software non connesse all'edizione. L'attività comprende lo sviluppo di applicazioni cloud, web, mobile e desktop, integrazione e configurazione di piattaforme hardware-software, consulenza sistemistica per l'implementazione di sistemi embedded e supporto allo sviluppo applicativo in ambienti Python. Inoltre, l'azienda provvede alla fornitura di licenze software e alla gestione di infrastrutture VOIP, nonché all'implementazione di strumenti di scansione 3D e sistemi haptic. Sono evidenti interventi su piattaforme applicative e infrastrutture digitali attraverso bandi pubblici che attestano attività nel mantenimento e nell'evoluzione di soluzioni informatiche.
281	ENDEMOL SHINE ITALY S.P.A.	59	Lazio	L'azienda opera nel settore della produzione cinematografica, video e televisiva mediante la progettazione, l'adattamento e lo sviluppo di format per reti televisive e piattaforme digitali. Le attività comprendono l'esecuzione di operazioni amministrativo-contabili specifiche per produzioni multimediali, la strutturazione di accordi di coproduzione e la realizzazione di contenuti audiovisivi. L'impresa si occupa inoltre della distribuzione e della commercializzazione di elaborati televisivi e cinematografici attraverso processi tecnici di programmazione e controllo contabile.
282	GLOBAL ONE S.P.A.	49	Lazio	L'azienda opera nel settore del trasporto merci su strada e nella logistica intermodale, eseguendo operazioni di distribuzione per il percorso dell'ultimo miglio, handling e facchinaggio. Le attività comprendono inoltre la movimentazione e lo smaltimento di rifiuti ingombranti e speciali, supportate da operazioni di ritiro e gestione di materiali specifici. In via accessoria vengono offerti servizi di noleggio con conducente, trasporti scolastici e trasporto per persone con ridotta capacità motoria.
283	FINCONS S.P.A.	62	Lombardia	L'azienda opera nella progettazione, sviluppo, installazione e manutenzione di soluzioni software specializzate, nell'integrazione di sistemi hardware e software e nell'erogazione di consulenza tecnica in ambito ICT. Le attività comprendono la customizzazione e il supporto applicativo di soluzioni gestionali, l'implementazione di progetti di system integration e l'assistenza tecnica specializzata, includendo servizi di help desk e application management nonché lo sviluppo di applicazioni proprietarie. L'attività è evidenziata dalla partecipazione a gare pubbliche per l'erogazione di servizi IT, che comprendono anche progetti relativi a data warehouse e sistemi di business intelligence.
